filename,original_min,original_max,normalized_min,normalized_max,normalized_mean,normalized_std
Defect_L10_B66_el813_H2_W2.npy,-272.156,4775.447279999999,1.129215772562923e-05,0.9999820355638145,0.4090648559149384,0.10678080820683755
Defect_L10_B67_el815_H2_W2.npy,-272.1559,4775.447279999999,1.1311968528662932e-05,0.9999820355638145,0.40906485571693907,0.1067810628983372
Defect_L10_B68_el817_H2_W2.npy,-272.15700000000004,4775.4474,1.1094049695348515e-05,0.9999820593367783,0.4090648549867048,0.10678128489309752
Defect_L10_B69_el819_H2_W2.npy,-272.15700000000004,4775.44741,1.1094049695348515e-05,0.9999820613178585,0.4090648541466637,0.10678159680322184
Defect_L10_B6_el125_H2_W2.npy,-272.1556,4775.45726,1.1371400937741518e-05,0.9999840126819568,0.4090650230767331,0.1067746819719076
Defect_L10_B70_el821_H2_W2.npy,-272.1571,4775.44741,1.1074238892326073e-05,0.9999820613178585,0.4090648411822246,0.10678196187199845
Defect_L10_B71_el823_H2_W2.npy,-272.1571,4775.44741,1.1074238892326073e-05,0.9999820613178585,0.4090648169397375,0.10678234108293676
Defect_L10_B72_el825_H2_W2.npy,-272.15700000000004,4775.4474,1.1094049695348515e-05,0.9999820593367783,0.40906478520450607,0.10678272592603198
Defect_L10_B73_el827_H2_W2.npy,-272.15700000000004,4775.4474,1.1094049695348515e-05,0.9999820593367783,0.40906475050912716,0.10678310541556374
Defect_L10_B74_el829_H2_W2.npy,-272.1569,4775.44739,1.1113860498382217e-05,0.999982057355698,0.4090646931223531,0.10678347372335747
Defect_L10_B75_el831_H2_W2.npy,-272.1559,4775.44738,1.1311968528662932e-05,0.9999820553746176,0.4090646177572491,0.10678383892609213
Defect_L10_B76_el833_H2_W2.npy,-272.1558,4775.44727,1.1331779331685374e-05,0.9999820335827343,0.40906457290557346,0.1067843432038675
Defect_L10_B77_el835_H2_W2.npy,-272.1558,4775.44725,1.1331779331685374e-05,0.9999820296205738,0.40906516303614615,0.10678563515976669
Defect_L10_B78_el837_H2_W2.npy,-272.15500000000003,4775.44687,1.1490265755898687e-05,0.9999819543395222,0.4090646579562409,0.10678706967305225
Defect_L10_B79_el1123_H2_W2.npy,-272.1573,4775.44725,1.103461728626993e-05,0.9999820296205738,0.40906478597659274,0.10678286674014245
Defect_L10_B7_el127_H2_W2.npy,-272.15549999999996,4775.45727,1.1391211740775219e-05,0.999984014663037,0.40906500186050315,0.10677584797216083
Defect_L10_B80_el1125_H2_W2.npy,-272.1558,4775.45709,1.1331779331685374e-05,0.9999839790035916,0.40906522193618045,0.1067815789539684
Defect_L10_B81_el1127_H2_W2.npy,-272.15569999999997,4775.45709,1.1351590134719077e-05,0.9999839790035916,0.4090645704452149,0.106780279762127
Defect_L10_B82_el1129_H2_W2.npy,-272.15569999999997,4775.45711,1.1351590134719077e-05,0.9999839829657523,0.40906463146301214,0.1067800783831472
Defect_L10_B83_el1131_H2_W2.npy,-272.15549999999996,4775.45724,1.1391211740775219e-05,0.9999840087197961,0.40906473275784266,0.10678011030225239
Defect_L10_B84_el1133_H2_W2.npy,-272.1551,4775.45728,1.1470454952876245e-05,0.9999840166441173,0.4090647843212045,0.10678016488481187
Defect_L10_B85_el1135_H2_W2.npy,-272.1536,4775.45731,1.176761699829169e-05,0.9999840225873582,0.40906482341576134,0.1067802399804116
Defect_L10_B86_el1137_H2_W2.npy,-272.1537,4775.45732,1.1747806195257987e-05,0.9999840245684387,0.4090648538340765,0.10678030824782792
Defect_L10_B87_el1139_H2_W2.npy,-272.1559,4775.45725,1.1311968528662932e-05,0.9999840107008765,0.4090648617538714,0.10678038040100411
Defect_L10_B88_el1141_H2_W2.npy,-272.1598,4775.457,1.053934721058503e-05,0.999983961173869,0.4090648831342151,0.10678042280935739
Defect_L10_B89_el1143_H2_W2.npy,-272.1597,4775.44702,1.0559158013618732e-05,0.9999819840557267,0.40906486420217314,0.10678049126378954
Defect_L10_B8_el129_H2_W2.npy,-272.15549999999996,4775.45727,1.1391211740775219e-05,0.999984014663037,0.4090649818465007,0.10677688528886864
Defect_L10_B90_el1145_H2_W2.npy,-272.1568,4775.43676,1.113367130141592e-05,0.9999799514673361,0.4090648422509761,0.1067806457714742
Defect_L10_B91_el1147_H2_W2.npy,-272.1562,4775.436989999999,1.1252536119573088e-05,0.999979997032183,0.409064846077753,0.10678069384337256
Defect_L10_B92_el1149_H2_W2.npy,-272.1561,4775.4471699999995,1.127234692260679e-05,0.9999820137719312,0.40906486321319485,0.10678074750767631
Defect_L10_B93_el1151_H2_W2.npy,-272.156,4775.44727,1.129215772562923e-05,0.9999820335827343,0.40906486305908085,0.10678079218846977
Defect_L10_B94_el1153_H2_W2.npy,-272.156,4775.4473,1.129215772562923e-05,0.9999820395259752,0.4090648860027719,0.10678072318156599
Defect_L10_B95_el1155_H2_W2.npy,-272.1572,4775.4474199999995,1.1054428089303633e-05,0.9999820632989388,0.40906489468423907,0.1067808699959815
Defect_L10_B96_el1157_H2_W2.npy,-272.1572,4775.44743,1.1054428089303633e-05,0.9999820652800192,0.4090648726658507,0.10678108947091008
Defect_L10_B97_el1159_H2_W2.npy,-272.1572,4775.4474199999995,1.1054428089303633e-05,0.9999820632989388,0.4090648436135854,0.10678133241832818
Defect_L10_B98_el1161_H2_W2.npy,-272.1571,4775.4474,1.1074238892326073e-05,0.9999820593367783,0.4090647937888534,0.10678158675045771
Defect_L10_B99_el1163_H2_W2.npy,-272.1571,4775.447279999999,1.1074238892326073e-05,0.9999820355638145,0.40906474112198576,0.10678182888713589
Defect_L10_B9_el131_H2_W2.npy,-272.15569999999997,4775.45727,1.1351590134719077e-05,0.999984014663037,0.4090649579768887,0.10677781421708475
Defect_L11_B100_el1165_H2_W2.npy,-272.1563,4775.43748,1.1232725316550646e-05,0.9999800941051179,0.4090651424990862,0.10678285187358569
Defect_L11_B101_el1167_H2_W2.npy,-272.15639999999996,4775.43725,1.1212914513528206e-05,0.999980048540271,0.40906530974941563,0.10678281096716277
Defect_L11_B102_el1169_H2_W2.npy,-272.1565,4775.43711,1.1193103710494503e-05,0.9999800208051467,0.409065507784021,0.10678255041807135
Defect_L11_B103_el1171_H2_W2.npy,-272.15659999999997,4775.43711,1.1173292907472062e-05,0.9999800208051467,0.40906630009827677,0.10678224045748638
Defect_L11_B104_el1173_H2_W2.npy,-272.15659999999997,4775.437389999999,1.1173292907472062e-05,0.9999800762753951,0.409065369927525,0.10677999883824778
Defect_L11_B105_el1459_H2_W2.npy,-272.1545,4775.44691,1.1589319771044676e-05,0.9999819622638434,0.4090654590007376,0.10677778210778495
Defect_L11_B106_el1461_H2_W2.npy,-272.1558,4775.4472399999995,1.1331779331685374e-05,0.9999820276394933,0.4090664560221717,0.10678040182536079
Defect_L11_B107_el1463_H2_W2.npy,-272.1556,4775.44737,1.1371400937741518e-05,0.9999820533935373,0.4090656065416626,0.10678096970342146
Defect_L11_B108_el1465_H2_W2.npy,-272.15529999999995,4775.44737,1.1430833346831363e-05,0.9999820533935373,0.40906535056225674,0.10678150136350913
Defect_L11_B109_el1467_H2_W2.npy,-272.15529999999995,4775.45746,1.1430833346831363e-05,0.9999840523035628,0.40906514129340454,0.10678181420861561
Defect_L11_B10_el133_H2_W2.npy,-272.15680000000003,4775.44749,1.1133671301404657e-05,0.9999820771665009,0.40906504357394,0.10677888490417962
Defect_L11_B110_el1469_H2_W2.npy,-272.15569999999997,4775.45743,1.1351590134719077e-05,0.999984046360322,0.40906493315581854,0.10678199617656262
Defect_L11_B111_el1471_H2_W2.npy,-272.1587,4775.45738,1.0757266043888187e-05,0.9999840364549204,0.40906476396209274,0.10678216816996407
Defect_L11_B112_el1473_H2_W2.npy,-272.1592,4775.44738,1.065821202875346e-05,0.9999820553746176,0.4090646417929119,0.10678236476131299
Defect_L11_B113_el1475_H2_W2.npy,-272.1564,4775.44749,1.1212914513516944e-05,0.9999820771665009,0.4090645354360969,0.10678264987187008
Defect_L11_B114_el1477_H2_W2.npy,-272.15040000000005,4775.4478,1.24015626951562e-05,0.9999821385799904,0.4090644774189301,0.10678286129320373
