nohup: ignoring input
Using device: NVIDIA GeForce RTX 3090
Using device: NVIDIA GeForce RTX 3090
Rank: 0, World Size: 4, Master Addr: 127.0.0.1, Master Port: 12355
Using device: NVIDIA GeForce RTX 3090
Using device: NVIDIA GeForce RTX 3090
Rank 0 using device: cuda:0
Rank 2 using device: cuda:2
Rank 3 using device: cuda:3
Rank 1 using device: cuda:1
Total valid pairs: 1620
Total valid pairs: 1620
Total valid pairs: 1620
Total valid pairs: 1620
Starting Fold 1
Fold 1, Epoch 79, Train Loss: 0.0323, Val Loss: 0.0321, Val Acc: 0.2483
Fold 1, Epoch 80, Train Loss: 0.0326, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 81, Train Loss: 0.0321, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 82, Train Loss: 0.0323, Val Loss: 0.0320, Val Acc: 0.2483
Fold 1, Epoch 83, Train Loss: 0.0322, Val Loss: 0.0315, Val Acc: 0.2483
Fold 1, Epoch 84, Train Loss: 0.0327, Val Loss: 0.0322, Val Acc: 0.2483
Fold 1, Epoch 85, Train Loss: 0.0324, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 86, Train Loss: 0.0322, Val Loss: 0.0315, Val Acc: 0.2483
Fold 1, Epoch 87, Train Loss: 0.0320, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 88, Train Loss: 0.0320, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 89, Train Loss: 0.0322, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 90, Train Loss: 0.0321, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 91, Train Loss: 0.0319, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 92, Train Loss: 0.0319, Val Loss: 0.0318, Val Acc: 0.2483
Fold 1, Epoch 93, Train Loss: 0.0322, Val Loss: 0.0315, Val Acc: 0.2483
Fold 1, Epoch 94, Train Loss: 0.0319, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 95, Train Loss: 0.0321, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 96, Train Loss: 0.0319, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 97, Train Loss: 0.0326, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 98, Train Loss: 0.0321, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 99, Train Loss: 0.0323, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 100, Train Loss: 0.0319, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 101, Train Loss: 0.0317, Val Loss: 0.0312, Val Acc: 0.2483
Fold 1, Epoch 102, Train Loss: 0.0317, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 103, Train Loss: 0.0318, Val Loss: 0.0318, Val Acc: 0.2483
Fold 1, Epoch 104, Train Loss: 0.0320, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 105, Train Loss: 0.0319, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 106, Train Loss: 0.0321, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 107, Train Loss: 0.0317, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 108, Train Loss: 0.0321, Val Loss: 0.0312, Val Acc: 0.2483
Fold 1, Epoch 109, Train Loss: 0.0318, Val Loss: 0.0318, Val Acc: 0.2483
Fold 1, Epoch 110, Train Loss: 0.0321, Val Loss: 0.0312, Val Acc: 0.2483
Fold 1, Epoch 111, Train Loss: 0.0318, Val Loss: 0.0310, Val Acc: 0.2483
Fold 1, Epoch 112, Train Loss: 0.0318, Val Loss: 0.0319, Val Acc: 0.2483
Fold 1, Epoch 113, Train Loss: 0.0323, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 114, Train Loss: 0.0318, Val Loss: 0.0312, Val Acc: 0.2483
Fold 1, Epoch 115, Train Loss: 0.0317, Val Loss: 0.0313, Val Acc: 0.2483
Fold 1, Epoch 116, Train Loss: 0.0314, Val Loss: 0.0310, Val Acc: 0.2483
Fold 1, Epoch 117, Train Loss: 0.0316, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 118, Train Loss: 0.0317, Val Loss: 0.0314, Val Acc: 0.2483
Fold 1, Epoch 119, Train Loss: 0.0315, Val Loss: 0.0310, Val Acc: 0.2483
Fold 1, Epoch 120, Train Loss: 0.0316, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 121, Train Loss: 0.0317, Val Loss: 0.0311, Val Acc: 0.2483
Fold 1, Epoch 122, Train Loss: 0.0321, Val Loss: 0.0317, Val Acc: 0.2483
